Package,Built
abcde,4.1.2
abind,4.1.0
archive,4.1.0
asciicast,4.1.0
askpass,4.1.0
assertthat,4.1.0
available,4.1.0
aws.ec2metadata,4.1.0
aws.signature,4.1.0
backports,4.1.0
base64enc,4.1.0
bench,4.1.0
BH,4.1.0
bigrquery,4.1.0
BiocManager,4.1.2
bit,4.1.0
bit64,4.1.0
bitops,4.1.0
blob,4.1.0
blogdown,4.1.2
bookdown,4.1.0
branchMover,4.1.0
brew,4.1.2
brio,4.1.0
broom,4.1.2
bslib,4.1.2
cachem,4.1.0
callr,4.1.2
cellranger,4.1.0
checkmate,4.1.2
chromote,4.1.2
class,4.1.2
classInt,4.1.0
cli,4.1.2
clipr,4.1.2
clisymbols,4.1.0
clock,4.1.0
collections,4.1.0
colorblindr,4.1.2
colorspace,4.1.2
commonmark,4.1.2
complexplus,4.1.0
conflicted,4.1.0
countrycode,4.1.0
covr,4.1.0
cowplot,4.1.0
cpp11,4.1.0
crancache,4.1.0
cranlike,4.1.0
crayon,4.1.2
credentials,4.1.0
crosstalk,4.1.0
crul,4.1.0
curl,4.1.0
cyclocomp,4.1.0
data.table,4.1.0
datapasta,4.1.0
DBI,4.1.0
DBItest,4.1.0
dbplyr,4.1.0
debugit,4.1.2
debugme,4.1.0
decor,4.1.0
desc,4.1.2
devtools,4.1.2
DiagrammeR,4.1.2
diffobj,4.1.0
diffviewer,4.1.0
digest,4.1.0
docopt,4.1.0
downlit,4.1.2
downloader,4.1.0
dplyr,4.1.2
DT,4.1.2
dtplyr,4.1.2
e1071,4.1.0
ellipsis,4.1.0
emo,4.1.2
emulator,4.1.0
epoxy,4.1.2
eulerr,4.1.0
eurostat,4.1.0
evaluate,4.1.2
excelgesis,4.1.2
expm,4.1.0
fansi,4.1.2
farver,4.1.0
fastmap,4.1.0
filelock,4.1.0
foghorn,4.1.0
fontawesome,4.1.0
forcats,4.1.0
fortunes,4.1.0
fs,4.1.0
functional,4.1.0
future,4.1.0
gapminder,4.1.0
gargle,4.1.2
generics,4.1.2
GenSA,4.1.0
gert,4.1.2
getPass,4.1.0
ggplot2,4.1.2
ggrepel,4.1.0
gh,4.1.0
gistr,4.1.0
git2r,4.1.0
gitcreds,4.1.0
globals,4.1.0
glue,4.1.2
gmailr,4.1.0
googleAuthR,4.1.0
googleCloudStorageR,4.1.0
googleComputeEngineR,4.1.0
googledrive,4.1.2
googlesheets4,4.1.2
gridExtra,4.1.0
gt,4.1.2
gtable,4.1.0
gtools,4.1.0
hablar,4.1.0
haven,4.1.0
here,4.1.0
highlite,4.1.0
highr,4.1.0
hms,4.1.0
htmltools,4.1.2
htmlwidgets,4.1.0
httpcode,4.1.0
httpuv,4.1.2
httr,4.1.2
httr2,4.1.0
hugodown,4.1.2
hunspell,4.1.0
ids,4.1.0
igraph,4.1.2
influenceR,4.1.0
ini,4.1.0
insight,4.1.2
isoband,4.1.0
jadd,4.1.0
janeaustenr,4.1.0
Jmisc,4.1.0
jose,4.1.0
jpeg,4.1.0
jquerylib,4.1.0
jsonlite,4.1.2
kableExtra,4.1.0
knitr,4.1.2
labeling,4.1.0
languageserver,4.1.0
later,4.1.0
lattice,4.1.0
lazyeval,4.1.0
lifecycle,4.1.0
lintr,4.1.2
listenv,4.1.0
lobstr,4.1.0
lookup,4.1.0
lpSolve,4.1.0
lubridate,4.1.0
magic,4.1.0
magick,4.1.0
magrittr,4.1.2
markdown,4.1.0
MASS,4.1.2
Matrix,4.1.2
memoise,4.1.0
mgcv,4.1.2
microbenchmark,4.1.0
mime,4.1.0
miniUI,4.1.0
minqa,4.1.0
mitools,4.1.0
mockery,4.1.2
mockr,4.1.0
modelr,4.1.0
munsell,4.1.0
mvtnorm,4.1.0
nlme,4.1.2
numDeriv,4.1.0
nycflights13,4.1.0
onion,4.1.0
openssl,4.1.2
packrat,4.1.0
pak,4.1.3
paletteer,4.1.0
parallelly,4.1.0
parsedate,4.1.2
parsermd,4.1.0
patchwork,4.1.0
pgnorm,4.1.0
phonTools,4.1.0
pillar,4.1.2
pingr,4.1.0
pkgbuild,4.1.2
pkgcache,4.1.0
pkgconfig,4.1.0
pkgdepends,4.1.0
pkgdown,4.1.2
pkgload,4.1.2
pkgsearch,4.1.0
plyr,4.1.0
png,4.1.0
polyclip,4.1.0
polylabelr,4.1.0
powerplus,4.1.0
pracma,4.1.0
praise,4.1.0
prettyunits,4.1.0
prismatic,4.1.0
processx,4.1.2
profmem,4.1.0
profvis,4.1.0
progress,4.1.0
promises,4.1.0
proxy,4.1.0
pryr,4.1.0
ps,4.1.2
purrr,4.1.0
qs,4.1.0
R.cache,4.1.0
R.methodsS3,4.1.0
R.oo,4.1.0
R.utils,4.1.0
R6,4.1.0
ragg,4.1.2
randomcoloR,4.1.0
rapidjsonr,4.1.0
RApiSerialize,4.1.0
rappdirs,4.1.0
rcmdcheck,4.1.0
RColorBrewer,4.1.2
Rcpp,4.1.2
RcppCGAL,4.1.2
RcppEigen,4.1.0
RcppParallel,4.1.0
RcppTOML,4.1.0
reactable,4.1.0
reactR,4.1.0
readr,4.1.2
readxl,4.1.2
RefManageR,4.1.0
rematch,4.1.0
rematch2,4.1.2
remotes,4.1.0
renv,4.1.0
reprex,4.1.2
repurrrsive,4.1.2
reticulate,4.1.0
revdepcheck,4.1.2
rex,4.1.0
rgl,4.1.0
rhub,4.1.0
rlang,4.1.2
rmarkdown,4.1.2
roxygen2,4.1.2
roxygenlabs,4.1.0
rprintf,4.1.0
rprojroot,4.1.2
rsconnect,4.1.0
RSQLite,4.1.0
rstudioapi,4.1.0
rticles,4.1.0
Rtsne,4.1.0
Rvcg,4.1.0
rversions,4.1.0
rvest,4.1.0
s2,4.1.0
sass,4.1.2
scales,4.1.2
selectr,4.1.0
servr,4.1.0
sessioninfo,4.1.2
sf,4.1.0
shiny,4.1.2
shinycssloaders,4.1.0
shinyjs,4.1.0
shinytest,4.1.0
shinyWidgets,4.1.2
showimage,4.1.0
sjlabelled,4.1.0
sjmisc,4.1.0
sloop,4.1.0
SnowballC,4.1.0
sodium,4.1.0
sourcetools,4.1.0
spelling,4.1.0
stringdist,4.1.0
stringfish,4.1.0
stringi,4.1.2
stringr,4.1.2
strsplinter,4.1.0
styler,4.1.0
survey,4.1.0
svglite,4.1.2
sys,4.1.0
systemfonts,4.1.2
testDummy,4.1.2
testthat,4.1.2
testUnload,4.1.0
textshaping,4.1.0
tibble,4.1.2
tidyr,4.1.2
tidyselect,4.1.2
tidytemplate,4.1.2
tidytext,4.1.0
tidyverse,4.1.0
tinytex,4.1.2
tokenizers,4.1.0
triebeard,4.1.0
tzdb,4.1.2
udapi,4.1.0
uniformly,4.1.0
units,4.1.0
urlchecker,4.1.2
urltools,4.1.0
usethis,4.1.2
utf8,4.1.0
uuid,4.1.2
V8,4.1.0
vctrs,4.1.2
viridis,4.1.0
viridisLite,4.1.0
visNetwork,4.1.0
vroom,4.1.2
waldo,4.1.2
webdriver,4.1.0
webfakes,4.1.0
webshot,4.1.0
webshot2,4.1.2
websocket,4.1.0
wesanderson,4.1.0
whisker,4.1.0
whoami,4.1.0
withr,4.1.2
wk,4.1.2
workflowr,4.1.2
wrapr,4.1.2
xfun,4.1.2
xml2,4.1.0
xmlparsedata,4.1.0
xopen,4.1.0
xtable,4.1.0
yaml,4.1.2
yesno,4.1.0
zip,4.1.0
zoo,4.1.0
